ICD-O Code	Level	Term Type	Term Type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT string (Preferred term)
8001/0	4	PT	Preferred term	Tumor cells, benign	C0334225		
8001/1	4	PT	Preferred term	Tumor cells, uncertain whether benign or malignant	C0597032	C12922	Neoplastic Cell
8001/1	Synonym	SY	Synonym	Tumor cells, NOS	C0597032	C12922	Neoplastic Cell
8001/3	4	PT	Preferred term	Tumor cells, malignant	C0334227	C12917	Malignant Cell
8002/3	4	PT	Preferred term	Malignant tumor, small cell type	C0334228	C65154	Malignant Tumor, Small Cell Type
8003/3	4	PT	Preferred term	Malignant tumor, giant cell type	C0334229	C4090	Malignant Giant Cell Neoplasm
8004/3	4	PT	Preferred term	Malignant tumor, spindle cell type	C0334230	C27091	Malignant Spindle Cell Neoplasm
8004/3	Synonym	SY	Synonym	Malignant tumor, fusiform cell type	C0334230	C27091	Malignant Spindle Cell Neoplasm
8005/0	4	PT	Preferred term	Clear cell tumor, NOS	C1265994	C66752	Clear Cell Neoplasm
8005/3	4	PT	Preferred term	Malignant tumor, clear cell type	C1265995		
801-804	2	HT	Hierarchical term	Epithelial neoplasms, NOS	C1368683	C3709	Epithelial Neoplasm
8010/0	4	PT	Preferred term	Epithelial tumor, benign	C0334232	C4092	Benign Epithelial Neoplasm
8010/2	4	PT	Preferred term	Carcinoma in situ, NOS	C0851135	C2917	Carcinoma In Situ
8010/2	Synonym	SY	Synonym	Intraepithelial carcinoma, NOS	C0851135	C2917	Carcinoma In Situ
8010/3	4	PT	Preferred term	Carcinoma, NOS	C0007097	C2916	Carcinoma
8010/3	Synonym	SY	Synonym	Epithelial tumor, malignant	C0007097	C2916	Carcinoma
8010/6	4	PT	Preferred term	Carcinoma, metastatic, NOS	C1384494	C3482	Metastatic Carcinoma
8010/6	Synonym	SY	Synonym	Secondary carcinoma	C1384494	C3482	Metastatic Carcinoma
8010/9	4	PT	Preferred term	Carcinomatosis	C0205699	C3693	Carcinomatosis
8011/0	4	PT	Preferred term	Epithelioma, benign	C0334232	C4092	Benign Epithelial Neoplasm
8011/3	4	PT	Preferred term	Epithelioma, malignant	C0553707		
8011/3	Synonym	SY	Synonym	Epithelioma, NOS	C1368683	C3709	Epithelial Neoplasm
8012/3	4	PT	Preferred term	Large cell carcinoma, NOS	C0206704	C3780	Large Cell Carcinoma
8013/3	4	PT	Preferred term	Large cell neuroendocrine carcinoma	C1265996	C6875	Large Cell Neuroendocrine Carcinoma
8014/3	4	PT	Preferred term	Large cell carcinoma with rhabdoid phenotype	C1265997	C6876	Large Cell Lung Carcinoma with Rhabdoid Phenotype
8015/3	4	PT	Preferred term	Glassy cell carcinoma	C1265998	C65159	Glassy Cell Carcinoma
8020/3	4	PT	Preferred term	Carcinoma, undifferentiated, NOS	C0205698	C3692	Undifferentiated Carcinoma
8021/3	4	PT	Preferred term	Carcinoma, anaplastic, NOS	C0205698	C3692	Undifferentiated Carcinoma
8022/3	4	PT	Preferred term	Pleomorphic carcinoma	C0334233	C4094	Pleomorphic Carcinoma
8030/3	4	PT	Preferred term	Giant cell and spindle cell carcinoma	C0334234	C65160	Giant Cell and Spindle Cell Carcinoma
8031/3	4	PT	Preferred term	Giant cell carcinoma	C0206703	C3779	Giant Cell Carcinoma
8032/3	4	PT	Preferred term	Spindle cell carcinoma, NOS	C0205697	C27004	Sarcomatoid Carcinoma
8033/3	4	PT	Preferred term	Pseudosarcomatous carcinoma	C0205697	C27004	Sarcomatoid Carcinoma
8033/3	Synonym	SY	Synonym	Sarcomatoid carcinoma	C0205697	C27004	Sarcomatoid Carcinoma
8034/3	4	PT	Preferred term	Polygonal cell carcinoma	C0334236	C65161	Polygonal Cell Carcinoma
8035/3	4	PT	Preferred term	Carcinoma with osteoclast-like giant cells	C1266000		
8040/0	4	PT	Preferred term	Tumorlet, benign	C1266001	C65162	Tumorlet
8040/1	4	PT	Preferred term	Tumorlet, NOS	C0334237		
8041/3	4	PT	Preferred term	Small cell carcinoma, NOS	C0262584	C3915	Small Cell Carcinoma
8041/3	Related	RT	Related term	Small cell neuroendocrine carcinoma	C0262584	C3915	Small Cell Carcinoma
8041/3	Synonym	SY	Synonym	Reserve cell carcinoma	C0262584	C3915	Small Cell Carcinoma
8041/3	Synonym	SY	Synonym	Round cell carcinoma	C0262584	C3915	Small Cell Carcinoma
8042/3	4	PT	Preferred term	Oat cell carcinoma	C0262584	C3915	Small Cell Carcinoma
8043/3	4	PT	Preferred term	Small cell carcinoma, fusiform cell	C0334238	C27092	Small Cell Carcinoma, Fusiform Cell Type
8044/3	4	PT	Preferred term	Small cell carcinoma, intermediate cell	C0334239	C4099	Small Cell Intermediate Cell Carcinoma
8045/3	4	PT	Preferred term	Combined small cell carcinoma	C0334240	C9137	Combined Small Cell Lung Carcinoma
8045/3	Related	RT	Related term	Combined small cell-adenocarcinoma	CL017862		
8045/3	Related	RT	Related term	Combined small cell-large cell carcinoma	CL017861		
8045/3	Related	RT	Related term	Combined small cell-squamous cell carcinoma	C0334240	C9137	Combined Small Cell Lung Carcinoma
8045/3	Synonym	SY	Synonym	Mixed small cell carcinoma	C0334240	C9137	Combined Small Cell Lung Carcinoma
8046/3	4	PT	Preferred term	Non-small cell carcinoma	C1266002	C65151	Non-Small Cell Carcinoma
805-808	2	HT	Hierarchical term	Squamous cell neoplasms	C0206720	C3792	Squamous Cell Neoplasm
8050/0	4	PT	Preferred term	Papilloma, NOS	C0030354	C7440	Papilloma
8050/2	4	PT	Preferred term	Papillary carcinoma in situ	C0334242	C65163	Papillary Carcinoma In Situ
8050/3	4	PT	Preferred term	Papillary carcinoma, NOS	C0007133	C2927	Papillary Carcinoma
8051/0	4	PT	Preferred term	Verrucous papilloma	C0334243	C4101	Verrucous Papilloma
8051/3	4	PT	Preferred term	Verrucous carcinoma, NOS	C0206706	C3781	Verrucous Carcinoma
8051/3	Synonym	SY	Synonym	Condylomatous carcinoma	C0206706	C3781	Verrucous Carcinoma
8051/3	Synonym	SY	Synonym	Verrucous epidermoid carcinoma	C0206706	C3781	Verrucous Carcinoma
8051/3	Synonym	SY	Synonym	Verrucous squamous cell carcinoma	C0206706	C3781	Verrucous Carcinoma
8051/3	Synonym	SY	Synonym	Warty carcinoma	C0206706	C3781	Verrucous Carcinoma
8052/0	4	PT	Preferred term	Squamous cell papilloma, NOS	C0205874	C3712	Squamous Papilloma
8052/0	Synonym	SY	Synonym	Keratotic papilloma	C0205874	C3712	Squamous Papilloma
8052/0	Synonym	SY	Synonym	Squamous papilloma	C0205874	C3712	Squamous Papilloma
8052/2	4	PT	Preferred term	Papillary squamous cell carcinoma, non-invasive	C1266003	C65164	Non-Invasive Papillary Squamous Cell Carcinoma
8052/2	Synonym	SY	Synonym	Papillary squamous cell carcinoma in situ	C1266003	C65164	Non-Invasive Papillary Squamous Cell Carcinoma
8052/3	4	PT	Preferred term	Papillary squamous cell carcinoma	C0334244	C4102	Papillary Squamous Cell Carcinoma
8052/3	Synonym	SY	Synonym	Papillary epidermoid carcinoma	C0334244	C4102	Papillary Squamous Cell Carcinoma
8053/0	4	PT	Preferred term	Squamous cell papilloma, inverted	C1881254	C65165	Inverted Squamous Cell Papilloma
8060/0	4	PT	Preferred term	Squamous papillomatosis	C1378340	C9009	Squamous Papillomatosis
8060/0	Synonym	SY	Synonym	Papillomatosis, NOS	C0205875	C3713	Papillomatosis
8070/2	4	PT	Preferred term	Squamous cell carcinoma in situ, NOS	C0334245	C27093	Stage 0 Squamous Cell Carcinoma
8070/2	Synonym	SY	Synonym	Epidermoid carcinoma in situ, NOS	C0334245	C27093	Stage 0 Squamous Cell Carcinoma
8070/2	Synonym	SY	Synonym	Intraepidermal carcinoma, NOS	C0334245	C27093	Stage 0 Squamous Cell Carcinoma
8070/2	Synonym	SY	Synonym	Intraepithelial squamous cell carcinoma	C0334245	C27093	Stage 0 Squamous Cell Carcinoma
8070/3	4	PT	Preferred term	Squamous cell carcinoma, NOS	C0007137	C2929	Squamous Cell Carcinoma
8070/3	Synonym	SY	Synonym	Epidermoid carcinoma, NOS	C0007137	C2929	Squamous Cell Carcinoma
8070/3	Synonym	SY	Synonym	Squamous carcinoma	C0007137	C2929	Squamous Cell Carcinoma
8070/3	Synonym	SY	Synonym	Squamous cell epithelioma	C0007137	C2929	Squamous Cell Carcinoma
8070/6	4	PT	Preferred term	Squamous cell carcinoma, metastatic, NOS	C0334246	C4104	Metastatic Squamous Cell Carcinoma
8071/3	4	PT	Preferred term	Squamous cell carcinoma, keratinizing, NOS	C0334247	C4105	Keratinizing Squamous Cell Carcinoma
8071/3	Synonym	SY	Synonym	Epidermoid carcinoma, keratinizing	C0334247	C4105	Keratinizing Squamous Cell Carcinoma
8071/3	Synonym	SY	Synonym	Squamous cell carcinoma, large cell, keratinizing	C0334247	C4105	Keratinizing Squamous Cell Carcinoma
8072/3	4	PT	Preferred term	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	C0334248	C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma
8072/3	Synonym	SY	Synonym	Epidermoid carcinoma, large cell, nonkeratinizing	C0334248	C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma
8072/3	Synonym	SY	Synonym	Squamous cell carcinoma, nonkeratinizing, NOS	C0334248	C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma
8073/3	4	PT	Preferred term	Squamous cell carcinoma, small cell, nonkeratinizing	C0334249	C65175	Non-Keratinizing Small Cell Squamous Cell Carcinoma
8073/3	Synonym	SY	Synonym	Epidermoid carcinoma, small cell, nonkeratinizing	C0334249	C65175	Non-Keratinizing Small Cell Squamous Cell Carcinoma
8074/3	4	PT	Preferred term	Squamous cell carcinoma, spindle cell	CL388688	C27084	Sarcomatoid Squamous Cell Carcinoma
8074/3	Synonym	SY	Synonym	Epidermoid carcinoma, spindle cell	CL388688	C27084	Sarcomatoid Squamous Cell Carcinoma
8074/3	Synonym	SY	Synonym	Squamous cell carcinoma, sarcomatoid	CL388688	C27084	Sarcomatoid Squamous Cell Carcinoma
8075/3	4	PT	Preferred term	Squamous cell carcinoma, adenoid	C0334250	C4106	Pseudoglandular Squamous Cell Carcinoma
8075/3	Synonym	SY	Synonym	Squamous cell carcinoma, acantholytic	C0334250	C4106	Pseudoglandular Squamous Cell Carcinoma
8075/3	Synonym	SY	Synonym	Squamous cell carcinoma, pseudoglandular	C0334250	C4106	Pseudoglandular Squamous Cell Carcinoma
8076/2	4	PT	Preferred term	Squamous cell carcinoma in situ with questionable stromal invasion	C0334251	C65176	Squamous Cell Carcinoma In Situ with Questionable Stromal Invasion
8076/2	Synonym	SY	Synonym	Epidermoid carcinoma in situ with questionable stromal invasion	C0334251	C65176	Squamous Cell Carcinoma In Situ with Questionable Stromal Invasion
8076/3	4	PT	Preferred term	Squamous cell carcinoma, microinvasive	C0334252	C65178	Microinvasive Squamous Cell Carcinoma
8077/0	4	PT	Preferred term	Squamous intraepithelial neoplasia, low grade	C1302773	C8335	Low Grade Squamous Intraepithelial Neoplasia
8077/0	Related	RT	Related term	Anal intraepithelial neoplasia, low grade	CL497895		
8077/0	Related	RT	Related term	Cervical intraepithelial neoplasia, low grade	C0349458	C4630	Low Grade Cervical Intraepithelial Neoplasia
8077/0	Related	RT	Related term	Esophageal squamous intraepithelial neoplasia (dysplasia), low grade	C1333458	C27427	Low Grade Esophageal Squamous Intraepithelial Neoplasia
8077/0	Synonym	SY	Synonym	Squamous intraepithelial neoplasia, grade II	C1302798	C7351	Grade II Squamous Intraepithelial Neoplasia
8077/0	Synonym	SY	Synonym	Squamous intraepithelial neoplasia, grade I	C1302773	C8335	Low Grade Squamous Intraepithelial Neoplasia
8077/2	4	PT	Preferred term	Squamous intraepithelial neoplasia, high grade	C0333875	C8336	High Grade Squamous Intraepithelial Neoplasia
8077/2	Related	RT	Related term	Anal intraepithelial neoplasia, grade III	C0154064	C7794	Stage 0 Anal Canal Cancer AJCC v6 and v7
8077/2	Related	RT	Related term	Cervical intraepithelial neoplasia, grade III	C0851140	C4000	Stage 0 Cervical Cancer AJCC v6
8077/2	Related	RT	Related term	Esophageal squamous intraepithelial neoplasia (dysplasia), high grade	CL497896		
8077/2	Related	RT	Related term	Vaginal intraepithelial neoplasia, grade III	C0686277	C7855	Stage 0 Vaginal Cancer AJCC v6
8077/2	Related	RT	Related term	Vulvar intraepithelial neoplasia, grade III	C0278729	C4522	Stage 0 Vulvar Cancer AJCC v6
8077/2	Synonym	SY	Synonym	AIN III	C0154064	C7794	Stage 0 Anal Canal Cancer AJCC v6 and v7
8077/2	Synonym	SY	Synonym	CIN III with severe dysplasia	C0851140	C4000	Stage 0 Cervical Cancer AJCC v6
8077/2	Synonym	SY	Synonym	CIN III, NOS	C0851140	C4000	Stage 0 Cervical Cancer AJCC v6
8077/2	Synonym	SY	Synonym	Squamous intraepithelial neoplasia, grade III	C0334245	C27093	Stage 0 Squamous Cell Carcinoma
8077/2	Synonym	SY	Synonym	VAIN III	C0686277	C7855	Stage 0 Vaginal Cancer AJCC v6
8077/2	Synonym	SY	Synonym	VIN III	C0278729	C4522	Stage 0 Vulvar Cancer AJCC v6
8078/3	4	PT	Preferred term	Squamous cell carcinoma with horn formation	C1266004	C65179	Squamous Cell Carcinoma with Horn Formation
8080/2	4	PT	Preferred term	Queyrat erythroplasia	C0154089	C27790	Penile Carcinoma In Situ
8081/2	4	PT	Preferred term	Bowen disease	C0006079	C62571	Bowen Disease of the Skin
8081/2	Synonym	SY	Synonym	Intraepidermal squamous cell carcinoma, Bowen type	C0006079	C62571	Bowen Disease of the Skin
8082/3	4	PT	Preferred term	Lymphoepithelial carcinoma	C0334254	C4107	Nasopharyngeal Type Undifferentiated Carcinoma
8082/3	Related	RT	Related term	Schmincke tumor	CL017873		
8082/3	Synonym	SY	Synonym	Lymphoepithelioma-like carcinoma	C0334254	C4107	Nasopharyngeal Type Undifferentiated Carcinoma
8082/3	Synonym	SY	Synonym	Lymphoepithelioma	C0334254	C4107	Nasopharyngeal Type Undifferentiated Carcinoma
8083/3	4	PT	Preferred term	Basaloid squamous cell carcinoma	C1266005	C54244	Basaloid Squamous Cell Carcinoma
8084/3	4	PT	Preferred term	Squamous cell carcinoma, clear cell type	C1266006	C65180	Squamous Cell Carcinoma, Clear Cell Type
809-811	2	HT	Hierarchical term	Basal cell neoplasms	C0206710	C3784	Basal Cell Neoplasm
8090/1	4	PT	Preferred term	Basal cell tumor	C0206710	C3784	Basal Cell Neoplasm
8090/3	4	PT	Preferred term	Basal cell carcinoma, NOS	C0007117	C2921	Skin Basal Cell Carcinoma
8090/3	Related	RT	Related term	Pigmented basal cell carcinoma	C1368275	C9359	Skin Pigmented Basal Cell Carcinoma
8090/3	Synonym	SY	Synonym	Basal cell epithelioma	C0007117	C2921	Skin Basal Cell Carcinoma
8090/3	Synonym	SY	Synonym	Rodent ulcer	C0007117	C2921	Skin Basal Cell Carcinoma
8091/3	4	PT	Preferred term	Multifocal superficial basal cell carcinoma	C0334256	C4108	Superficial Multifocal Basal Cell Carcinoma
8091/3	Synonym	SY	Synonym	Multicentric basal cell carcinoma	C0334256	C4108	Superficial Multifocal Basal Cell Carcinoma
8092/3	4	PT	Preferred term	Infiltrating basal cell carcinoma, NOS	C0334257	C27539	Skin Infiltrating Basal Cell Carcinoma
8092/3	Related	RT	Related term	Infiltrating basal cell carcinoma, non-sclerosing	C0334257	C27539	Skin Infiltrating Basal Cell Carcinoma
8092/3	Related	RT	Related term	Infiltrating basal cell carcinoma, sclerosing	C0555191	C27182	Skin Morphea-Type (Sclerosing) Basal Cell Carcinoma
8092/3	Synonym	SY	Synonym	Basal cell carcinoma, desmoplastic type	C0334257	C27539	Skin Infiltrating Basal Cell Carcinoma
8092/3	Synonym	SY	Synonym	Basal cell carcinoma, morpheic	C0334257	C27539	Skin Infiltrating Basal Cell Carcinoma
8093/3	4	PT	Preferred term	Basal cell carcinoma, fibroepithelial	C0346013	C4109	Skin Fibroepithelial Basal Cell Carcinoma
8093/3	Synonym	SY	Synonym	Fibroepithelial basal cell carcinoma, Pinkus type	C0346013	C4109	Skin Fibroepithelial Basal Cell Carcinoma
8093/3	Synonym	SY	Synonym	Fibroepithelioma of Pinkus type	C0346013	C4109	Skin Fibroepithelial Basal Cell Carcinoma
8093/3	Synonym	SY	Synonym	Fibroepithelioma, NOS	C0346013	C4109	Skin Fibroepithelial Basal Cell Carcinoma
8093/3	Synonym	SY	Synonym	Pinkus tumor	C0346013	C4109	Skin Fibroepithelial Basal Cell Carcinoma
8094/3	4	PT	Preferred term	Basosquamous carcinoma	C0007118	C2922	Skin Basosquamous Cell Carcinoma
8094/3	Synonym	SY	Synonym	Mixed basal-squamous cell carcinoma	C0007118	C2922	Skin Basosquamous Cell Carcinoma
8095/3	4	PT	Preferred term	Metatypical carcinoma	C1883040	C66903	Skin Metatypical Carcinoma
8096/0	4	PT	Preferred term	Intraepidermal epithelioma of Jadassohn	C2937231	C4110	Intraepidermal Epithelioma of Jadassohn
8097/3	4	PT	Preferred term	Basal cell carcinoma, nodular	C1367861	C62282	Skin Nodular Basal Cell Carcinoma
8097/3	Related	RT	Related term	Basal cell carcinoma, micronodular	CL331352	C27541	Skin Micronodular Basal Cell Carcinoma
8098/3	4	PT	Preferred term	Adenoid basal carcinoma	C1266007	C27535	Skin Adenoid Basal Cell Carcinoma
8100/0	4	PT	Preferred term	Trichoepithelioma	C0349658	C27132	Trichoblastoma
8100/0	Synonym	SY	Synonym	Brooke tumor	C0349658	C27132	Trichoblastoma
8100/0	Synonym	SY	Synonym	Epithelioma adenoides cysticum	C0349658	C27132	Trichoblastoma
8101/0	4	PT	Preferred term	Trichofolliculoma	C0334262	C4112	Trichofolliculoma
8102/0	4	PT	Preferred term	Trichilemmoma	C0334263	C4113	Tricholemmoma
8102/3	4	PT	Preferred term	Trichilemmocarcinoma	C1266009	C43326	Trichilemmocarcinoma
8102/3	Synonym	SY	Synonym	Trichilemmal carcinoma	C1266009	C43326	Trichilemmocarcinoma
8103/0	4	PT	Preferred term	Pilar tumor	C0086809	C27125	Proliferating Pilar Tumor
8103/0	Synonym	SY	Synonym	Proliferating trichilemmal cyst	C0086809	C27125	Proliferating Pilar Tumor
8103/0	Synonym	SY	Synonym	Proliferating trichilemmal tumor	C0086809	C27125	Proliferating Pilar Tumor
8110/0	4	PT	Preferred term	Pilomatrixoma, NOS	C0206711	C7368	Pilomatricoma
8110/0	Synonym	SY	Synonym	Calcifying epithelioma of Malherbe	C0206711	C7368	Pilomatricoma
8110/0	Synonym	SY	Synonym	Pilomatricoma, NOS	C0206711	C7368	Pilomatricoma
8110/3	4	PT	Preferred term	Pilomatrix carcinoma	C0585475	C4114	Pilomatrical Carcinoma
8110/3	Synonym	SY	Synonym	Matrical carcinoma	C0585475	C4114	Pilomatrical Carcinoma
8110/3	Synonym	SY	Synonym	Pilomatricoma, malignant	C0585475	C4114	Pilomatrical Carcinoma
8110/3	Synonym	SY	Synonym	Pilomatrixoma, malignant	C0585475	C4114	Pilomatrical Carcinoma
812-813	2	HT	Hierarchical term	Transitional cell papillomas and carcinomas	C1384509		
8120/0	4	PT	Preferred term	Transitional cell papilloma, benign	C0334266	C4115	Transitional Cell Papilloma
8120/0	Synonym	SY	Synonym	Transitional papilloma	C0334266	C4115	Transitional Cell Papilloma
8120/1	4	PT	Preferred term	Urothelial papilloma, NOS	C0235754	C3842	Urothelial Papilloma
8120/1	Synonym	SY	Synonym	Papilloma of bladder	C0235754	C3842	Urothelial Papilloma
8120/1	Synonym	SY	Synonym	Transitional cell papilloma, NOS	C0334266	C4115	Transitional Cell Papilloma
8120/2	4	PT	Preferred term	Transitional cell carcinoma in situ	C0334267	C4116	Stage 0 Transitional Cell Carcinoma
8120/2	Synonym	SY	Synonym	Urothelial carcinoma in situ	C0334267	C4116	Stage 0 Transitional Cell Carcinoma
8120/3	4	PT	Preferred term	Transitional cell carcinoma, NOS	C0007138	C2930	Transitional Cell Carcinoma
8120/3	Related	RT	Related term	Transitional carcinoma	C0007138	C2930	Transitional Cell Carcinoma
8120/3	Synonym	SY	Synonym	Urothelial carcinoma, NOS	C2145472	C4030	Urothelial Carcinoma
8121/0	4	PT	Preferred term	Schneiderian papilloma, NOS	C0334268	C4117	Schneiderian Papilloma
8121/0	Related	RT	Related term	Sinonasal papilloma, exophytic	C0334268	C4117	Schneiderian Papilloma
8121/0	Related	RT	Related term	Transitional cell papilloma, inverted, benign	C0334269	C4118	Inverted Transitional Cell Papilloma
8121/0	Related	RT	Related term	Transitional papilloma, inverted, benign	C0334269	C4118	Inverted Transitional Cell Papilloma
8121/0	Synonym	SY	Synonym	Sinonasal papilloma, NOS	C0334268	C4117	Schneiderian Papilloma
8121/0	Synonym	SY	Synonym	Sinonasal papilloma, fungiform	C0334268	C4117	Schneiderian Papilloma
8121/1	4	PT	Preferred term	Transitional cell papilloma, inverted, NOS	C0334269	C4118	Inverted Transitional Cell Papilloma
8121/1	Related	RT	Related term	Columnar cell papilloma	CL017890		
8121/1	Related	RT	Related term	Cylindrical cell papilloma	CL017891		
8121/1	Related	RT	Related term	Oncocytic Schneiderian papilloma	C1704453	C54345	Oncocytic Schneiderian Papilloma
8121/1	Related	RT	Related term	Schneiderian papilloma, inverted	C1537102	C6871	Inverted Schneiderian Papilloma
8121/1	Synonym	SY	Synonym	Transitional papilloma, inverted, NOS	C0334269	C4118	Inverted Transitional Cell Papilloma
8121/3	4	PT	Preferred term	Schneiderian carcinoma	C0334270	C54287	Non-Keratinizing Sinonasal Squamous Cell Carcinoma
8121/3	Related	RT	Related term	Cylindrical cell carcinoma	CL017893		
8122/3	4	PT	Preferred term	Transitional cell carcinoma, spindle cell	C0334271	C4120	Sarcomatoid Transitional Cell Carcinoma
8122/3	Synonym	SY	Synonym	Transitional cell carcinoma, sarcomatoid	C0334271	C4120	Sarcomatoid Transitional Cell Carcinoma
8123/3	4	PT	Preferred term	Basaloid carcinoma	C1704216	C4121	Basaloid Carcinoma
8124/3	4	PT	Preferred term	Cloacogenic carcinoma	C0334273	C8255	Anal Canal Cloacogenic Carcinoma
8130/1	4	PT	Preferred term	Papillary transitional cell neoplasm of low malignant potential	C1266010	C27884	Bladder Papillary Urothelial Neoplasm of Low Malignant Potential
8130/1	Synonym	SY	Synonym	Papillary urothelial neoplasm of low malignant potential	C1266010	C27884	Bladder Papillary Urothelial Neoplasm of Low Malignant Potential
8130/2	4	PT	Preferred term	Papillary transitional cell carcinoma, non-invasive	CL017895	C65181	Non-Invasive Papillary Transitional Cell Carcinoma
8130/2	Synonym	SY	Synonym	Papillary urothelial carcinoma, non-invasive	CL017895	C65181	Non-Invasive Papillary Transitional Cell Carcinoma
8130/3	4	PT	Preferred term	Papillary transitional cell carcinoma	C0334274	C4122	Papillary Transitional Cell Carcinoma
8130/3	Synonym	SY	Synonym	Papillary urothelial carcinoma	C0334274	C4122	Papillary Transitional Cell Carcinoma
8131/3	4	PT	Preferred term	Transitional cell carcinoma, micropapillary	C1266012	C65182	Micropapillary Transitional Cell Carcinoma
814-838	2	HT	Hierarchical term	Adenomas and adenocarcinomas	C0334275		
8140/0	4	PT	Preferred term	Adenoma, NOS	C0001430	C2855	Adenoma
8140/1	4	PT	Preferred term	Atypical adenoma	C1305409	C7559	Atypical Adenoma
8140/1	Synonym	SY	Synonym	Bronchial adenoma, NOS	C0149845	C3494	Lung Papillary Adenoma
8140/2	4	PT	Preferred term	Adenocarcinoma in situ, NOS	C0334276	C4123	Adenocarcinoma In Situ
8140/3	4	PT	Preferred term	Adenocarcinoma, NOS	C0001418	C2852	Adenocarcinoma
8140/6	4	PT	Preferred term	Adenocarcinoma, metastatic, NOS	C0334277	C4124	Metastatic Adenocarcinoma
8141/3	4	PT	Preferred term	Scirrhous adenocarcinoma	C0007135	C2928	Scirrhous Adenocarcinoma
8141/3	Synonym	SY	Synonym	Carcinoma with productive fibrosis	C0007135	C2928	Scirrhous Adenocarcinoma
8141/3	Synonym	SY	Synonym	Scirrhous carcinoma	C0007135	C2928	Scirrhous Adenocarcinoma
8142/3	4	PT	Preferred term	Linitis plastica	C0023743	C3190	Linitis Plastica
8143/3	4	PT	Preferred term	Superficial spreading adenocarcinoma	C0334278	C4125	Superficial Spreading Adenocarcinoma
8144/3	4	PT	Preferred term	Adenocarcinoma, intestinal type	C0334279	C4126	Intestinal Type Adenocarcinoma
8144/3	Synonym	SY	Synonym	Carcinoma, intestinal type	C0334279	C4126	Intestinal Type Adenocarcinoma
8145/3	4	PT	Preferred term	Carcinoma, diffuse type	C0334280	C4127	Diffuse Type Adenocarcinoma
8145/3	Synonym	SY	Synonym	Adenocarcinoma, diffuse type	C0334280	C4127	Diffuse Type Adenocarcinoma
8146/0	4	PT	Preferred term	Monomorphic adenoma	C0205649	C3686	Salivary Gland Monomorphic Adenoma
8147/0	4	PT	Preferred term	Basal cell adenoma	C0205646	C5950	Salivary Gland Basal Cell Adenoma
8147/3	4	PT	Preferred term	Basal cell adenocarcinoma	C0205641	C3678	Salivary Gland Basal Cell Adenocarcinoma
8148/0	4	PT	Preferred term	Glandular intraepithelial neoplasia, low grade	C1334423	C7661	Low Grade Glandular Intraepithelial Neoplasia
